price,score,name,link
14.25,90,Château Thieuley Francis Courselle Blanc 2010,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/ch%C3%A2teau-thieuley-francis-courselle-blanc-2010-2170
16.95,90,Borgo Scopeto Chianti Classico 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/borgo-scopeto-chianti-classico-2015-23325
24.95,91,Clarence Dillon Clarendelle Red 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/clarence-dillon-clarendelle-red-2015-28837
25.95,92,Clarence Dillon Clarendelle Blanc 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/clarence-dillon-clarendelle-blanc-2018-28845
21.95,92,Santa Carolina Reserva de Familia Carmenère 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/santa-carolina-reserva-de-familia-carmen%C3%A8re-2016-34942
133.00,93,Ruinart Brut Blanc de Blancs Champagne,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/ruinart-brut-blanc-de-blancs-champagne-62984
39.95,91,La Crema Russian River Valley Chardonnay 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/la-crema-russian-river-valley-chardonnay-2017-67231
73.00,95,Billecart-Salmon Brut Réserve Champagne,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/billecart-salmon-brut-r%C3%A9serve-champagne-81976
70.00,93,Domaine Chanson Beaune Teurons 1er Cru 2013,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/domaine-chanson-beaune-teurons-1er-cru-2013-84426
43.00,94,Pieropan La Rocca Soave Classico 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/pieropan-la-rocca-soave-classico-2017-92437
63.00,95,Feudo Montoni Vrucara Nero d'Avola 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/feudo-montoni-vrucara-nero-davola-2015-111286
16.95,93,Firriato Chiaramonte Nero D'Avola 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/firriato-chiaramonte-nero-davola-2015-121145
34.95,93,Tawse Laundry Vineyard Cabernet Franc 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/tawse-laundry-vineyard-cabernet-franc-2016-130997
20.25,95,Matetic Corralillo Syrah 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/matetic-corralillo-syrah-2015-146407
39.95,90,Reif Estate Meritage 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/reif-estate-meritage-2015-149005
41.25,90,Inniskillin Cabernet Franc Icewine 2014,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/inniskillin-cabernet-franc-icewine-2014-149963
16.95,92,Zuccardi Serie A Malbec 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/zuccardi-serie-a-malbec-2018-167619
22.95,95,Concha y Toro Marques de Casa Concha Carmenère 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/concha-y-toro-marques-de-casa-concha-carmen%C3%A8re-2017-169862
29.95,93,Banfi Brunello di Montalcino 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/banfi-brunello-di-montalcino-2015-175091
21.95,93,Cafaggio Chianti Classico 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/cafaggio-chianti-classico-2015-176776
170.00,96,Anakota Helena Montana Vineyard Cabernet Sauvignon 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/anakota-helena-montana-vineyard-cabernet-sauvignon-2015-181131
15.95,89,Casas del Bosque Reserva Carmenère 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/casas-del-bosque-reserva-carmen%C3%A8re-2018-205872
64.95,93,Flowers Pinot Noir 2018,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/flowers-pinot-noir-2018-215202
73.00,95,Domaine Albert Morot Les Cent Vignes Beaune 1er Cru 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/domaine-albert-morot-les-cent-vignes-beaune-1er-cru-2017-226340
59.95,92,Faust Cabernet Sauvignon 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/faust-cabernet-sauvignon-2017-238261
94.95,90,J. Lohr Carol's Vineyard Cabernet Sauvignon 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/j-lohr-carols-vineyard-cabernet-sauvignon-2016-246918
86.00,94,Brigaldara Case Vecie Amarone della Valpolicella 2012,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/brigaldara-case-vecie-amarone-della-valpolicella-2012-247502
44.95,92,Black Stallion Cabernet Sauvignon 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/black-stallion-cabernet-sauvignon-2016-256768
34.00,92,Halos de Jupiter Vacqueyras 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/halos-de-jupiter-vacqueyras-2016-274324
46.00,92,Rex Hill Pinot Noir 2017,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/rex-hill-pinot-noir-2017-275735
34.95,91,Heredad de Baroja Gran Reserva 2002,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/heredad-de-baroja-gran-reserva-2002-276113
18.95,89,Lantides Neméa Agiorgitiko 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/lantides-nem%C3%A9a-agiorgitiko-2016-286708
34.25,93,Roederer Estate Brut Sparkling,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/roederer-estate-brut-sparkling-294181
66.00,93,Maison Roche de Bellene Vieilles Vignes Volnay 2014,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/maison-roche-de-bellene-vieilles-vignes-volnay-2014-299875
159.00,94,Château La Nerthe Clos de Beauvenir Châteauneuf-du-Pape Blanc 2016,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/ch%C3%A2teau-la-nerthe-clos-de-beauvenir-ch%C3%A2teauneuf-du-pape-blanc-2016-302802
23.95,92,Tarima Hill Monastrell 2015,https://www.lcbo.com/webapp/wcs/stores/servlet/en/lcbo/wine-14/tarima-hill-monastrell-2015-310169
